Genome	M1C	M2C	M3C	M4C	Marinobacter_CB1	Marinobacter_CBIA	Marinobacter_CBIW17	Marinobacter_CBIW18	adhaerens	algicola	antarcticus	aromaticivorans	bohaiensis	changyiensis	confluentis	daepoensis	daqiaonensis	excellens	flavimaris	fonticola	fuscus	gelidimuriae	gudaonensis	guineae	halophilus	halotolerans	hydrocarbonoclasticus	lipolyticus	litoralis	lutaoensis	manganoxydans	maritimus	mobilis	nanhaiticus	nitratireducens	pelagius	persicus	piscensis	profundi	psychrophilus	salarius	salexigens	salicampi	salinus	salsuginis	santoriniensis	segnicrescens	shengliensis	similis	subterrani	vinifirmus	vulgaris	zhejiangensis
L-lactate utilization protein LutB, contains a ferredoxin-type domain	0	0	0	0	0	0	0	0	2	1	0	1	1	1	0	1	1	1	2	1	1	0	1	2	1	0	1	1	1	1	2	1	2	1	2	2	1	0	2	0	1	1	1	1	2	2	1	1	2	1	1	1	2
L-lactate utilization protein LutC, contains LUD domain	0	0	0	0	0	0	0	0	2	1	1	1	1	1	0	1	1	1	2	1	1	0	1	2	1	0	1	1	1	1	2	1	2	1	2	2	1	0	2	0	1	1	1	1	2	2	1	1	1	1	1	1	2
Small neutral amino acid transporter SnatA, MarC family	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Na+/alanine symporter	1	1	1	1	1	1	1	1	1	1	1	1	3	0	0	2	2	2	1	3	1	1	1	2	2	0	2	3	2	2	2	1	1	3	4	2	2	1	1	1	2	1	0	1	1	1	2	2	1	3	2	1	1
Mg/Co/Ni transporter MgtE (contains CBS domain)	2	2	2	2	2	2	2	2	1	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	2	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	2	1	0	1	1	1
Acetyl/propionyl-CoA carboxylase, alpha subunit	1	1	2	1	1	1	1	1	3	2	2	4	2	2	2	2	3	2	2	2	1	1	2	3	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	1	2	2	3	3	2	2	3	2	2	2	2	3	2
Ketosteroid isomerase-related protein	1	1	1	1	1	2	1	1	1	1	2	1	1	2	1	1	2	1	1	1	1	0	1	1	1	2	1	3	1	1	1	1	2	6	1	1	1	1	1	2	1	2	1	1	1	1	2	1	1	1	1	1	0
UDP-glucose 6-dehydrogenase	1	1	1	1	1	1	0	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	2	1	2	2	1	1	2	1	1	1	3	2	1	1	1
Flagellar biosynthesis/type III secretory pathway M-ring protein FliF/YscJ	1	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1
Methylase of chemotaxis methyl-accepting proteins	1	1	1	1	1	0	1	1	2	2	2	2	2	3	2	2	2	4	2	4	2	0	4	3	3	3	2	3	2	2	2	2	4	4	2	2	2	1	2	2	2	2	2	4	2	2	2	2	4	4	1	3	2
Acyl-coenzyme A thioesterase PaaI, contains HGG motif	5	5	5	5	4	4	3	7	11	13	9	16	10	10	8	8	11	8	11	11	7	5	8	9	7	8	9	7	6	9	11	9	10	11	7	9	5	7	12	7	14	7	11	8	10	8	15	9	9	8	8	6	9
Predicted signal transduction protein containing a membrane domain, an EAL and a GGDEF domain	13	13	11	13	11	10	10	10	8	4	7	4	5	12	6	4	7	7	8	8	7	6	5	10	17	8	8	4	6	5	7	3	4	9	7	4	10	2	5	10	3	4	9	7	5	9	6	11	8	8	7	15	6
Fatty-acid desaturase	1	1	1	1	1	1	1	1	2	3	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1
NhaP-type Na+/H+ or K+/H+ antiporter	3	3	4	3	4	5	2	3	1	2	3	1	3	3	1	1	3	0	1	2	1	2	2	2	1	2	1	1	1	1	1	1	1	4	1	1	1	1	1	1	2	1	4	1	1	2	1	0	1	2	1	3	1
Predicted CoA-binding protein	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Flagellar basal body rod protein FlgG	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	2	1	0	1	1
Long-chain fatty acid transport protein	1	1	1	1	0	1	1	1	9	5	5	6	4	2	4	4	2	7	8	3	2	0	4	6	6	6	5	5	5	5	7	5	7	5	7	6	1	4	6	2	5	6	4	8	6	5	0	7	10	3	4	2	6
Flagellar basal body P-ring protein FlgI	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1
Type II secretory pathway, pseudopilin PulG	2	2	2	2	0	2	0	2	7	6	2	2	2	2	7	2	6	6	6	5	6	4	7	6	6	8	6	2	2	6	6	2	2	2	6	7	6	3	6	2	6	2	6	6	6	6	2	6	7	7	6	6	2
Sugar phosphate permease	1	1	2	1	0	1	1	0	1	1	1	1	1	1	1	1	3	1	1	2	1	2	1	1	1	1	1	1	1	2	1	1	2	1	1	3	1	2	1	1	1	1	1	1	1	1	3	1	2	1	1	1	2
Type II secretory pathway, component PulJ	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Type II secretory pathway, component PulF	2	2	2	2	0	1	0	1	3	3	2	2	2	2	3	2	3	3	3	3	3	2	4	3	3	3	3	2	2	3	2	2	2	2	3	3	3	3	3	2	3	2	3	3	3	3	2	3	3	3	3	3	2
Flagellar hook-associated protein FlgK	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1
Tfp pilus assembly protein FimT	4	4	4	4	2	3	0	4	4	4	3	3	4	2	4	3	4	4	4	4	4	2	4	4	4	3	4	4	3	4	2	3	4	3	4	4	4	3	5	4	4	3	4	4	4	4	3	3	4	3	4	4	3
Alkylated DNA nucleotide flippase Atl1, participates in nucleotide excision repair, Ada-like DNA-binding domain	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DNA polymerase III, alpha subunit (gram-positive type)	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	0	1	1	1	0
Type II secretory pathway ATPase GspE/PulE or T4P pilus assembly pathway ATPase PilB	3	3	3	3	1	2	1	2	4	4	3	2	3	3	4	3	6	5	4	5	4	4	5	6	5	5	4	3	3	5	3	3	3	3	4	4	4	3	4	4	5	3	4	4	4	4	3	5	4	4	3	7	3
Type II secretory pathway component GspD/PulD (secretin)	1	1	1	1	0	1	1	0	3	2	1	1	1	1	2	1	2	2	2	2	2	2	3	2	2	2	2	1	1	3	1	1	1	1	2	2	2	2	2	1	3	1	2	2	2	2	1	2	2	2	2	2	1
DNA-binding transcriptional regulator, GntR family	9	9	15	9	6	13	3	9	6	6	5	5	9	7	5	7	1	6	5	8	4	5	6	8	6	5	6	7	6	5	7	8	6	10	6	3	2	3	4	12	7	3	4	7	5	4	3	5	6	6	4	3	8
Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Type II secretory pathway, component PulL	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NAD kinase	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FKBP-type peptidyl-prolyl cis-trans isomerase	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
Flagellar hook protein FlgE	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	2	1	0	1	1
Selenocysteine lyase/Cysteine desulfurase	1	1	1	1	1	0	0	0	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
Elongation factor P hydroxylase (EF-P beta-lysylation pathway)	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Uncharacterized conserved protein, contains LysM and FecR  domains	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1	1	1	1	1	1	3	1	0	1	1
Fe-S cluster biosynthesis and repair protein YggX	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Bacterioferritin (cytochrome b1)	2	2	2	2	1	2	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1
NAD/NADP transhydrogenase alpha subunit	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	0	3	2	1	1	0	1	1	1	0	1	2	2	0	0	1	1	0	1	2	1	0	1	1	1	1	1	3	1	1	2	1	1	1	1	0	1	0
Metal-sulfur cluster biosynthetic enzyme	2	2	3	2	2	1	2	1	2	2	2	2	1	2	1	1	2	1	2	1	2	3	1	3	1	1	1	1	1	2	2	2	1	1	1	3	1	2	3	3	2	2	1	2	2	2	2	2	1	3	1	1	1
Conserved DNA-binding protein YbaB (function unknown)	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Imidazoleglycerol phosphate dehydratase HisB	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Disulfide bond formation protein DsbB	1	1	1	1	0	1	0	0	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1
S-adenosylmethionine synthetase	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Predicted deacylase	2	2	2	2	1	2	0	1	4	3	3	2	3	4	4	3	2	4	4	2	3	1	4	5	3	3	3	6	3	2	4	3	2	3	3	2	3	3	2	3	3	4	3	4	4	2	3	3	4	2	2	4	2
Uncharacterized conserved protein YajQ, UPF0234 family	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Molybdopterin synthase catalytic subunit	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2-Methylisocitrate lyase and related enzymes, PEP mutase family	2	2	2	2	1	1	0	1	1	1	1	1	3	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	3	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1
ABC-type Zn2+ transport system, periplasmic component/surface adhesin	2	2	2	2	1	2	1	2	1	2	1	1	3	1	2	1	2	3	1	3	1	2	1	1	2	2	1	1	2	1	1	1	1	3	1	1	2	1	1	2	2	1	2	1	1	1	1	2	2	1	1	2	2
Superoxide dismutase	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Imidazoleglycerol phosphate synthase glutamine amidotransferase subunit HisH	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Fructose/tagatose bisphosphate aldolase	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Multisubunit Na+/H+ antiporter, MnhB subunit	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	2	2	3	2	1	2	2	1	1	3	1	2	1	1	1	2	1	1	1	1	2	1	1	2	3	1	1	2	2	1	1	2	3	1	1	1	3	1
Uncharacterized FlgJ-related protein	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3-phosphoglycerate kinase	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
Cytochrome c oxidase assembly factor CtaG	1	1	1	1	2	0	0	1	2	2	1	0	1	1	1	0	0	0	1	1	1	1	1	1	0	1	0	1	0	1	5	3	0	2	1	1	1	0	1	1	2	0	1	1	2	1	1	0	2	1	1	1	0
GAF domain	4	4	4	4	3	5	5	3	8	7	4	5	5	4	6	7	5	10	8	9	6	2	11	8	7	7	8	8	6	7	7	7	7	8	10	1	3	3	4	3	7	5	3	5	9	9	7	7	10	7	5	5	7
tRNA(Leu) C34 or U34 (ribose-2'-O)-methylase TrmL, contains SPOUT domain	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Bacterioferritin-associated ferredoxin	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Cytochrome c5	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2
CubicO group peptidase, beta-lactamase class C family	2	2	2	2	2	2	0	4	3	1	2	2	1	3	2	2	3	4	3	1	2	2	1	5	3	2	3	2	2	2	5	2	2	2	3	2	2	1	2	2	1	5	2	3	3	2	4	3	2	2	2	4	2
Exopolyphosphatase/pppGpp-phosphohydrolase	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Anti-sigma factor ChrR, cupin superfamily	2	2	2	2	2	1	2	2	2	1	2	3	1	2	2	1	2	2	2	1	1	1	2	4	2	2	3	2	1	1	3	2	1	1	2	2	2	0	3	2	1	2	1	2	2	2	3	3	2	2	2	2	0
Predicted O-methyltransferase YrrM	2	2	2	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	2	3	1	1	1	1	2	1	2	1	2	1	1	1	2	1	1	1	1	2	1	1	1	1	2	1	1
Multisubunit Na+/H+ antiporter, MnhG subunit	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	2	3	2	1	2	2	1	1	3	1	2	1	1	1	2	1	1	1	1	2	1	1	2	3	1	1	2	2	1	1	2	3	1	1	1	3	1
Acetate kinase	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
3-methyladenine DNA glycosylase Tag	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2
Phosphotransacetylase	1	1	1	1	1	3	1	4	1	0	1	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1
Dienelactone hydrolase	2	2	2	2	2	2	1	1	1	2	0	1	4	3	1	1	4	1	1	2	1	0	1	1	1	1	2	1	0	1	3	0	2	2	1	2	2	1	3	2	1	0	2	2	1	1	1	1	1	1	1	2	1
Predicted  kinase, aminoglycoside phosphotransferase (APT) family	4	4	4	4	4	3	2	4	2	3	3	2	3	3	1	2	4	1	2	3	2	3	2	3	1	1	1	2	1	1	2	2	1	2	3	3	1	2	3	4	3	1	3	2	2	2	4	1	2	2	3	1	2
Flagellar biogenesis protein FliO	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	2	1	0	1	1
Flagellar hook-basal body complex protein FliE	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1
Putative intracellular protease/amidase	1	1	1	1	1	1	0	3	2	2	2	2	2	2	2	1	3	2	2	3	1	1	2	2	2	3	2	2	1	1	2	3	2	4	2	2	1	2	2	1	2	1	2	2	2	2	3	2	2	2	1	4	3
Cob(I)alamin adenosyltransferase	1	1	2	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Cell division protein DedD (periplasmic protein involved in septation)	2	2	2	2	2	2	1	1	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Predicted Fe-S protein YdhL, DUF1289 family	1	1	1	1	1	1	1	1	2	1	1	1	1	0	2	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1	1	2	0	1	1	1	1	1	0	1	2	1
Chemotaxis response regulator CheB, contains REC and protein-glutamate methylesterase domains	1	1	1	1	1	1	0	1	2	2	2	2	2	3	2	2	2	3	2	4	2	0	3	3	3	3	2	2	2	2	2	2	4	3	2	1	2	1	1	2	2	2	3	2	2	2	2	2	4	2	1	3	2
dTDP-glucose pyrophosphorylase	2	2	2	2	0	2	2	2	1	0	2	1	0	1	0	1	1	0	0	2	1	0	0	1	1	0	1	1	0	1	1	2	2	1	1	1	1	2	1	0	0	0	1	0	0	1	1	2	3	0	2	1	2
Chemotaxis regulator CheZ, phosphatase of CheY~P	1	1	1	1	1	1	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1
Flagellar basal body rod protein FlgF	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	2	1	0	1	1
Flagellar basal body L-ring protein FlgH	1	1	1	1	0	1	1	1	3	3	3	2	3	1	2	3	3	3	3	2	2	1	3	2	3	2	3	2	3	2	3	4	2	2	3	1	1	1	1	2	3	2	3	2	3	3	2	3	2	2	1	1	2
Spermidine synthase	2	2	2	2	2	2	1	3	4	4	4	3	2	4	4	2	4	4	4	4	2	2	3	4	4	4	3	4	3	1	4	4	2	4	3	3	3	2	4	2	4	4	4	4	4	6	3	4	5	4	3	4	1
Flagellar biosynthesis protein FlhB	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1
Gamma-glutamyltranspeptidase	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	3	1	1	1	1	1	2	1	1	1	0	2	1	1	5	1	1	1	1	1	3	1	1	4	2	1	1	2	1	2	2	1	1	1
Predicted secreted hydrolase	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1	0
Flagella basal body P-ring formation protein FlgA	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	2	1	0	1	1
Membrane protein required for beta-lactamase induction	1	1	1	1	0	1	0	0	2	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
Regulator of sigma D	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABC-type phosphate/phosphonate transport system, periplasmic component	4	4	6	4	4	5	4	5	2	3	2	1	3	1	3	3	1	2	2	5	2	1	2	3	3	2	2	1	2	1	3	2	1	2	1	1	2	1	3	4	4	3	2	3	1	2	2	2	2	2	2	1	1
5-formyltetrahydrofolate cyclo-ligase	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
N-acetyl-anhydromuramyl-L-alanine amidase AmpD	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
ABC-type phosphate/phosphonate transport system, ATPase component	4	4	6	4	4	3	4	4	1	4	2	1	2	1	3	2	1	2	2	4	2	2	2	2	3	2	2	1	3	1	2	3	1	2	1	1	1	1	2	5	5	4	2	2	1	1	2	1	2	2	2	1	1
ABC-type phosphate/phosphonate transport system, permease component	3	3	5	3	3	3	3	4	1	3	2	1	3	1	4	3	1	2	2	3	3	1	2	2	4	3	2	1	2	1	2	2	1	3	1	1	1	1	2	4	5	4	3	2	1	1	3	1	3	2	2	1	1
Flagellin-specific chaperone FliS	1	1	1	1	0	2	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1
Flagellar biosynthesis protein FliR	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1
Mitochondrial fission protein ELM1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	2	2	1	1	1
Uncharacterized conserved protein, contains NRDE domain	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Exonuclease VII small subunit	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Cyanate permease	2	2	2	2	1	3	1	2	1	2	1	1	2	1	2	1	1	1	1	2	2	2	1	1	1	1	1	1	1	0	1	2	0	1	0	1	1	2	1	2	1	2	1	1	1	1	1	1	2	1	1	1	0
Flagellar biosynthesis GTPase FlhF	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1
Uncharacterized protein related to plant photosystem II stability/assembly factor	2	2	2	2	2	4	2	3	4	3	2	2	2	1	4	1	1	2	3	2	1	2	1	3	1	2	2	3	2	1	2	3	3	1	1	2	0	2	2	1	2	2	1	2	2	2	1	3	1	1	3	1	2
Transcriptional regulator containing PAS, AAA-type ATPase, and DNA-binding Fis domains	3	3	2	3	1	5	3	3	5	1	2	2	2	2	4	3	2	3	3	3	3	2	2	5	3	2	3	3	1	2	3	2	3	1	2	5	1	1	2	3	1	3	1	3	3	3	3	3	2	2	1	2	2
Recombinational DNA repair protein RecR	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
Periplasmic protein refolding chaperone Spy/CpxP family	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Dephospho-CoA kinase	1	1	1	1	0	0	0	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
